LOCATION,short_rate(t),short_rate(t+5y)
C0001,0.672257,2.702274
C0001,2.060875,3.319766
C0001,4.006383,3.921221
C0001,6.056784,6.35792
C0001,7.81015,6.520071
C0001,9.720907,6.225312
C0001,11.431953,6.008598
C0002,10.622441,13.541032
C0002,12.227681,13.531152
C0002,13.99108,14.023344
C0002,15.89558,15.273754
C0002,17.860295,17.430498
C0002,19.812356,19.11044
C0002,21.80681,19.478871
C0002,23.452064,19.588905
C0003,-1.375943,2.256158
C0003,0.237034,2.204563
C0003,2.197216,3.158169
C0003,4.144737,4.305532
C0003,5.958391,5.379344
C0003,7.624646,5.732982
C0003,10.045472,8.633561
C0003,11.86235,8.542417
C0003,13.818326,10.197291
C0004,10.465624,12.306544
C0004,12.157336,13.241329
C0004,14.014238,13.830642
C0004,15.883183,15.171812
C0004,17.835918,17.134341
C0004,20.065638,20.065727
C0004,21.551889,19.435199
C0004,23.083852,17.09573
C0005,-1.322456,2.609265
C0005,0.414512,2.108439
C0005,2.029932,2.818489
C0005,3.980093,3.955616
C0005,5.917192,5.217744
C0005,7.715365,5.90069
C0005,9.452428,6.402705
C0006,10.393786,12.802431
C0006,12.319714,13.101689
C0006,14.017612,14.108294
C0006,15.898644,15.671846
C0006,17.667191,16.754868
C0006,19.648841,18.268221
C0007,0.413766,3.555241
C0007,2.233248,3.567273
C0007,4.174215,4.985829
C0007,5.966555,5.313075
C0007,7.86368,7.119583
C0007,9.867527,8.74738
C0007,11.535353,10.617254
C0008,10.387333,12.558483
C0008,12.179297,12.809746
C0008,14.104642,14.334687
C0008,15.92373,15.397634
C0008,17.872842,16.973765
C0008,19.808024,18.117158
C0008,22.190543,17.098062
C0008,23.912127,17.813118
C0008,25.537975,18.576564
C0009,0.417403,3.129775
C0009,2.196,3.290527
C0009,3.979886,3.947308
C0009,5.927611,5.517275
C0009,7.871619,7.039621
C0009,9.892828,8.002105
C0009,11.944459,9.279328
C0009,14.225766,11.882181
C0009,15.711005,12.23901
C0009,17.859214,14.980415
C0009,20.318451,15.109611
C0009,21.977196,15.184018
C0009,24.135025,14.941577
C0009,25.736801,16.503522
C0009,28.050281,17.634424
C0010,6.193286,11.383956
C0010,8.457255,10.632551
C0010,10.144761,11.406423
C0010,12.21257,12.704818
C0010,14.030028,14.401657
C0010,16.038409,15.919788
C0010,17.865129,17.091064
C0010,19.677336,18.1277
C0010,21.085755,17.726487
