LOCATION,short_rate(t),mean(short_rate(t+5y)),std_dev(short_rate(t+5y))
C0001,0.672257,2.702274,0.860885
C0001,2.060875,3.319766,1.408715
C0001,4.006383,3.921221,1.588026
C0001,6.056784,6.357920,2.148743
C0001,7.810150,6.520071,1.751228
C0001,9.720907,6.225312,1.895926
C0001,11.431953,6.008598,1.264070
C0002,10.622441,13.541032,1.391882
C0002,12.227681,13.531152,1.269661
C0002,13.991080,14.023344,1.541054
C0002,15.895580,15.273754,1.944173
C0002,17.860295,17.430498,2.232313
C0002,19.812356,19.110440,2.090599
C0002,21.806810,19.478871,1.552452
C0002,23.452064,19.588905,0.000000
C0003,-1.375943,2.256158,0.602489
C0003,0.237034,2.204563,1.365073
C0003,2.197216,3.158169,1.828920
C0003,4.144737,4.305532,1.959293
C0003,5.958391,5.379344,1.747997
C0003,7.624646,5.732982,1.598824
C0003,10.045472,8.633561,1.849283
C0003,11.862350,8.542417,1.457710
C0003,13.818326,10.197291,0.327208
C0004,10.465624,12.306544,1.366360
C0004,12.157336,13.241329,1.608151
C0004,14.014238,13.830642,1.448196
C0004,15.883183,15.171812,1.879099
C0004,17.835918,17.134341,2.258804
C0004,20.065638,20.065727,1.829726
C0004,21.551889,19.435199,2.262087
C0004,23.083852,17.095730,0.000000
C0005,-1.322456,2.609265,0.677023
C0005,0.414512,2.108439,1.503190
C0005,2.029932,2.818489,1.731362
C0005,3.980093,3.955616,2.011294
C0005,5.917192,5.217744,1.907872
C0005,7.715365,5.900690,1.522234
C0005,9.452428,6.402705,0.925324
C0006,10.393786,12.802431,1.174911
C0006,12.319714,13.101689,1.736110
C0006,14.017612,14.108294,1.526115
C0006,15.898644,15.671846,1.591702
C0006,17.667191,16.754868,1.758335
C0006,19.648841,18.268221,0.588211
C0007,0.413766,3.555241,1.961695
C0007,2.233248,3.567273,2.590815
C0007,4.174215,4.985829,1.618196
C0007,5.966555,5.313075,1.936003
C0007,7.863680,7.119583,1.700715
C0007,9.867527,8.747380,2.069731
C0007,11.535353,10.617254,0.891085
C0008,10.387333,12.558483,1.266675
C0008,12.179297,12.809746,1.711217
C0008,14.104642,14.334687,2.026976
C0008,15.923730,15.397634,1.531195
C0008,17.872842,16.973765,1.611780
C0008,19.808024,18.117158,1.233728
C0008,22.190543,17.098062,0.558090
C0008,23.912127,17.813118,0.503408
C0008,25.537975,18.576564,0.345098
C0009,0.417403,3.129775,1.317262
C0009,2.196000,3.290527,1.706570
C0009,3.979886,3.947308,1.858040
C0009,5.927611,5.517275,1.607731
C0009,7.871619,7.039621,2.071069
C0009,9.892828,8.002105,1.745273
C0009,11.944459,9.279328,1.047715
C0009,14.225766,11.882181,0.587587
C0009,15.711005,12.239010,0.701124
C0009,17.859214,14.980415,1.092312
C0009,20.318451,15.109611,0.236626
C0009,21.977196,15.184018,0.259996
C0009,24.135025,14.941577,0.814448
C0009,25.736801,16.503522,0.820994
C0009,28.050281,17.634424,0.159526
C0010,6.193286,11.383956,2.091126
C0010,8.457255,10.632551,1.758874
C0010,10.144761,11.406423,2.476419
C0010,12.212570,12.704818,2.398782
C0010,14.030028,14.401657,1.953700
C0010,16.038409,15.919788,2.176128
C0010,17.865129,17.091064,1.870016
C0010,19.677336,18.127700,1.297630
C0010,21.085755,17.726487,0.078514
